model,make,type,origin,drivetrain,msrp,invoice,engine_size,cyl,horsepower,mpg_city,mpg_hwy,weight,wheelbase,length,domestic
MDX,Acura,SUV,Asia,All,36945,33337,3.5,6,265,17,23,4451,106,189,0
RSX Type S 2dr,Acura,Sedan,Asia,Front,23820,21761,2,4,200,24,31,2778,101,172,0
TSX 4dr,Acura,Sedan,Asia,Front,26990,24647,2.4,4,200,22,29,3230,105,183,0
TL 4dr,Acura,Sedan,Asia,Front,33195,30299,3.2,6,270,20,28,3575,108,186,0
3.5 RL 4dr,Acura,Sedan,Asia,Front,43755,39014,3.5,6,225,18,24,3880,115,197,0
3.5 RL w/Navigation 4dr,Acura,Sedan,Asia,Front,46100,41100,3.5,6,225,18,24,3893,115,197,0
NSX coupe 2dr manual S,Acura,Sports,Asia,Rear,89765,79978,3.2,6,290,17,24,3153,100,174,0
A4 1.8T 4dr,Audi,Sedan,Europe,Front,25940,23508,1.8,4,170,22,31,3252,104,179,0
A41.8T convertible 2dr,Audi,Sedan,Europe,Front,35940,32506,1.8,4,170,23,30,3638,105,180,0
A4 3.0 4dr,Audi,Sedan,Europe,Front,31840,28846,3,6,220,20,28,3462,104,179,0
A4 3.0 Quattro 4dr manual,Audi,Sedan,Europe,All,33430,30366,3,6,220,17,26,3583,104,179,0
A4 3.0 Quattro 4dr auto,Audi,Sedan,Europe,All,34480,31388,3,6,220,18,25,3627,104,179,0
A6 3.0 4dr,Audi,Sedan,Europe,Front,36640,33129,3,6,220,20,27,3561,109,192,0
A6 3.0 Quattro 4dr,Audi,Sedan,Europe,All,39640,35992,3,6,220,18,25,3880,109,192,0
A4 3.0 convertible 2dr,Audi,Sedan,Europe,Front,42490,38325,3,6,220,20,27,3814,105,180,0
A4 3.0 Quattro convertible 2dr,Audi,Sedan,Europe,All,44240,40075,3,6,220,18,25,4013,105,180,0
A6 2.7 Turbo Quattro 4dr,Audi,Sedan,Europe,All,42840,38840,2.7,6,250,18,25,3836,109,192,0
A6 4.2 Quattro 4dr,Audi,Sedan,Europe,All,49690,44936,4.2,8,300,17,24,4024,109,193,0
A8 L Quattro 4dr,Audi,Sedan,Europe,All,69190,64740,4.2,8,330,17,24,4399,121,204,0
S4 Quattro 4dr,Audi,Sedan,Europe,All,48040,43556,4.2,8,340,14,20,3825,104,179,0
RS 6 4dr,Audi,Sports,Europe,Front,84600,76417,4.2,8,450,15,22,4024,109,191,0
TT 1.8 convertible 2dr (coupe),Audi,Sports,Europe,Front,35940,32512,1.8,4,180,20,28,3131,95,159,0
TT 1.8 Quattro 2dr (convertible),Audi,Sports,Europe,All,37390,33891,1.8,4,225,20,28,2921,96,159,0
TT 3.2 coupe 2dr (convertible),Audi,Sports,Europe,All,40590,36739,3.2,6,250,21,29,3351,96,159,0
A6 3.0 Avant Quattro,Audi,Wagon,Europe,All,40840,37060,3,6,220,18,25,4035,109,192,0
S4 Avant Quattro,Audi,Wagon,Europe,All,49090,44446,4.2,8,340,15,21,3936,104,179,0
X3 3.0i,BMW,SUV,Europe,All,37000,33873,3,6,225,16,23,4023,110,180,0
X5 4.4i,BMW,SUV,Europe,All,52195,47720,4.4,8,325,16,22,4824,111,184,0
325i 4dr,BMW,Sedan,Europe,Rear,28495,26155,2.5,6,184,20,29,3219,107,176,0
325Ci 2dr,BMW,Sedan,Europe,Rear,30795,28245,2.5,6,184,20,29,3197,107,177,0
325Ci convertible 2dr,BMW,Sedan,Europe,Rear,37995,34800,2.5,6,184,19,27,3560,107,177,0
325xi 4dr,BMW,Sedan,Europe,All,30245,27745,2.5,6,184,19,27,3461,107,176,0
330i 4dr,BMW,Sedan,Europe,Rear,35495,32525,3,6,225,20,30,3285,107,176,0
330Ci 2dr,BMW,Sedan,Europe,Rear,36995,33890,3,6,225,20,30,3285,107,176,0
330xi 4dr,BMW,Sedan,Europe,All,37245,34115,3,6,225,20,29,3483,107,176,0
525i 4dr,BMW,Sedan,Europe,Rear,39995,36620,2.5,6,184,19,28,3428,114,191,0
330Ci convertible 2dr,BMW,Sedan,Europe,Rear,44295,40530,3,6,225,19,28,3616,107,177,0
530i 4dr,BMW,Sedan,Europe,Rear,44995,41170,3,6,225,20,30,3472,114,191,0
545iA 4dr,BMW,Sedan,Europe,Rear,54995,50270,4.4,8,325,18,26,3814,114,191,0
745i 4dr,BMW,Sedan,Europe,Rear,69195,63190,4.4,8,325,18,26,4376,118,198,0
745Li 4dr,BMW,Sedan,Europe,Rear,73195,66830,4.4,8,325,18,26,4464,123,204,0
M3 coupe 2dr,BMW,Sports,Europe,Rear,48195,44170,3.2,6,333,16,24,3415,108,177,0
M3 convertible 2dr,BMW,Sports,Europe,Rear,56595,51815,3.2,6,333,16,23,3781,108,177,0
Z4 convertible 2.5i 2dr,BMW,Sports,Europe,Rear,33895,31065,2.5,6,184,20,28,2932,98,161,0
Z4 convertible 3.0i 2dr,BMW,Sports,Europe,Rear,41045,37575,3,6,225,21,29,2998,98,161,0
325xi Sport,BMW,Wagon,Europe,All,32845,30110,2.5,6,184,19,26,3594,107,176,0
Rainier,Buick,SUV,USA,All,37895,34357,4.2,6,275,15,21,4600,113,193,1
Rendezvous CX,Buick,SUV,USA,Front,26545,24085,3.4,6,185,19,26,4024,112,187,1
Century Custom 4dr,Buick,Sedan,USA,Front,22180,20351,3.1,6,175,20,30,3353,109,195,1
LeSabre Custom 4dr,Buick,Sedan,USA,Front,26470,24282,3.8,6,205,20,29,3567,112,200,1
Regal LS 4dr,Buick,Sedan,USA,Front,24895,22835,3.8,6,200,20,30,3461,109,196,1
Regal GS 4dr,Buick,Sedan,USA,Front,28345,26047,3.8,6,240,18,28,3536,109,196,1
LeSabre Limited 4dr,Buick,Sedan,USA,Front,32245,29566,3.8,6,205,20,29,3591,112,200,1
Park Avenue 4dr,Buick,Sedan,USA,Front,35545,32244,3.8,6,205,20,29,3778,114,207,1
Park Avenue Ultra 4dr,Buick,Sedan,USA,Front,40720,36927,3.8,6,240,18,28,3909,114,207,1
Escalade,Cadillac,SUV,USA,Front,52795,48377,5.3,8,295,14,18,5367,116,199,1
SRX V8,Cadillac,SUV,USA,Front,46995,43523,4.6,8,320,16,21,4302,116,195,1
CTS VVT 4dr,Cadillac,Sedan,USA,Rear,30835,28575,3.6,6,255,18,25,3694,113,190,1
Deville 4dr,Cadillac,Sedan,USA,Front,45445,41650,4.6,8,275,18,26,3984,115,207,1
Deville DTS 4dr,Cadillac,Sedan,USA,Front,50595,46362,4.6,8,300,18,26,4044,115,207,1
Seville SLS 4dr,Cadillac,Sedan,USA,Front,47955,43841,4.6,8,275,18,26,3992,112,201,1
XLR convertible 2dr,Cadillac,Sports,USA,Rear,76200,70546,4.6,8,320,17,25,3647,106,178,1
Escalade EXT,Cadillac,Truck,USA,All,52975,48541,6,8,345,13,17,5879,130,221,1
Suburban 1500 LT,Chevrolet,SUV,USA,Front,42735,37422,5.3,8,295,14,18,4947,130,219,1
Tahoe LT,Chevrolet,SUV,USA,All,41465,36287,5.3,8,295,14,18,5050,116,197,1
TrailBlazer LT,Chevrolet,SUV,USA,Front,30295,27479,4.2,6,275,16,21,4425,113,192,1
Tracker,Chevrolet,SUV,USA,Front,20255,19108,2.5,6,165,19,22,2866,98,163,1
Aveo 4dr,Chevrolet,Sedan,USA,Front,11690,10965,1.6,4,103,28,34,2370,98,167,1
Aveo LS 4dr hatch,Chevrolet,Sedan,USA,Front,12585,11802,1.6,4,103,28,34,2348,98,153,1
Cavalier 2dr,Chevrolet,Sedan,USA,Front,14610,13697,2.2,4,140,26,37,2617,104,183,1
Cavalier 4dr,Chevrolet,Sedan,USA,Front,14810,13884,2.2,4,140,26,37,2676,104,183,1
Cavalier LS 2dr,Chevrolet,Sedan,USA,Front,16385,15357,2.2,4,140,26,37,2617,104,183,1
Impala 4dr,Chevrolet,Sedan,USA,Front,21900,20095,3.4,6,180,21,32,3465,111,200,1
Malibu 4dr,Chevrolet,Sedan,USA,Front,18995,17434,2.2,4,145,24,34,3174,106,188,1
Malibu LS 4dr,Chevrolet,Sedan,USA,Front,20370,18639,3.5,6,200,22,30,3297,106,188,1
Monte Carlo LS 2dr,Chevrolet,Sedan,USA,Front,21825,20026,3.4,6,180,21,32,3340,111,198,1
Impala LS 4dr,Chevrolet,Sedan,USA,Front,25000,22931,3.8,6,200,20,30,3476,111,200,1
Impala SS 4dr,Chevrolet,Sedan,USA,Front,27995,25672,3.8,6,240,18,28,3606,111,200,1
Malibu LT 4dr,Chevrolet,Sedan,USA,Front,23495,21551,3.5,6,200,23,32,3315,106,188,1
Monte Carlo SS 2dr,Chevrolet,Sedan,USA,Front,24225,22222,3.8,6,200,18,28,3434,111,198,1
Astro,Chevrolet,Sedan,USA,All,26395,23954,4.3,6,190,14,17,4605,111,190,1
Venture LS,Chevrolet,Sedan,USA,Front,27020,24518,3.4,6,185,19,26,3699,112,187,1
Corvette 2dr,Chevrolet,Sports,USA,Rear,44535,39068,5.7,8,350,18,25,3246,105,180,1
Corvette convertible 2dr,Chevrolet,Sports,USA,Rear,51535,45193,5.7,8,350,18,25,3248,105,180,1
Avalanche 1500,Chevrolet,Truck,USA,All,36100,31689,5.3,8,295,14,18,5678,130,222,1
Colorado Z85,Chevrolet,Truck,USA,All,18760,17070,2.8,4,175,18,23,3623,111,192,1
Silverado 1500 Regular Cab,Chevrolet,Truck,USA,Rear,20310,18480,4.3,6,200,15,21,4142,119,206,1
Silverado SS,Chevrolet,Truck,USA,All,40340,35399,6,8,300,13,17,4804,144,238,1
SSR,Chevrolet,Truck,USA,Rear,41995,39306,5.3,8,300,16,19,4760,116,191,1
Malibu Maxx LS,Chevrolet,Wagon,USA,Front,22225,20394,3.5,6,200,22,30,3458,112,188,1
PT Cruiser 4dr,Chrysler,Sedan,USA,Front,17985,16919,2.4,4,150,22,29,3101,103,169,1
PT Cruiser Limited 4dr,Chrysler,Sedan,USA,Front,22000,20573,2.4,4,150,22,29,3105,103,169,1
Sebring 4dr,Chrysler,Sedan,USA,Front,19090,17805,2.4,4,150,22,30,3173,108,191,1
Sebring Touring 4dr,Chrysler,Sedan,USA,Front,21840,20284,2.7,6,200,21,28,3222,108,191,1
300M 4dr,Chrysler,Sedan,USA,Front,29865,27797,3.5,6,250,18,27,3581,113,198,1
Concorde LX 4dr,Chrysler,Sedan,USA,Front,24130,22452,2.7,6,200,21,29,3479,113,208,1
Concorde LXi 4dr,Chrysler,Sedan,USA,Front,26860,24909,3.5,6,232,19,27,3548,113,208,1
PT Cruiser GT 4dr,Chrysler,Sedan,USA,Front,25955,24172,2.4,4,220,21,27,3217,103,169,1
Sebring convertible 2dr,Chrysler,Sedan,USA,Front,25215,23451,2.4,4,150,22,30,3357,106,194,1
300M Special Edition 4dr,Chrysler,Sedan,USA,Front,33295,30884,3.5,6,255,18,27,3650,113,198,1
Sebring Limited convertible 2dr,Chrysler,Sedan,USA,Front,30950,28613,2.7,6,200,21,28,3448,106,194,1
Town and Country LX,Chrysler,Sedan,USA,Front,27490,25371,3.3,6,180,19,26,4068,119,201,1
Town and Country Limited,Chrysler,Sedan,USA,Front,38380,35063,3.8,6,215,18,25,4331,119,201,1
Crossfire 2dr,Chrysler,Sports,USA,Rear,34495,32033,3.2,6,215,17,25,3060,95,160,1
Pacifica,Chrysler,Wagon,USA,Rear,31230,28725,3.5,6,250,17,23,4675,116,199,1
Durango SLT,Dodge,SUV,USA,All,32235,29472,4.7,8,230,15,21,4987,119,201,1
Neon SE 4dr,Dodge,Sedan,USA,Front,13670,12849,2,4,132,29,36,2581,105,174,1
Neon SXT 4dr,Dodge,Sedan,USA,Front,15040,14086,2,4,132,29,36,2626,105,174,1
Intrepid SE 4dr,Dodge,Sedan,USA,Front,22035,20502,2.7,6,200,21,29,3469,113,204,1
Stratus SXT 4dr,Dodge,Sedan,USA,Front,18820,17512,2.4,4,150,21,28,3182,108,191,1
Stratus SE 4dr,Dodge,Sedan,USA,Front,20220,18821,2.4,4,150,21,28,3175,108,191,1
Intrepid ES 4dr,Dodge,Sedan,USA,Front,24885,23058,3.5,6,232,18,27,3487,113,204,1
Caravan SE,Dodge,Sedan,USA,Front,21795,20508,2.4,4,150,20,26,3862,113,189,1
Grand Caravan SXT,Dodge,Sedan,USA,All,32660,29812,3.8,6,215,18,25,4440,119,201,1
Viper SRT-10 convertible 2dr,Dodge,Sports,USA,Rear,81795,74451,8.3,10,500,12,20,3410,99,176,1
Dakota Regular Cab,Dodge,Truck,USA,Rear,17630,16264,3.7,6,210,16,22,3714,112,193,1
Dakota Club Cab,Dodge,Truck,USA,Rear,20300,18670,3.7,6,210,16,22,3829,131,219,1
Ram 1500 Regular Cab ST,Dodge,Truck,USA,Rear,20215,18076,3.7,6,215,16,21,4542,121,208,1
Excursion 6.8 XLT,Ford,SUV,USA,All,41475,36494,6.8,10,310,10,13,7190,137,227,1
Expedition 4.6 XLT,Ford,SUV,USA,Front,34560,30468,4.6,8,232,15,19,5000,119,206,1
Explorer XLT V6,Ford,SUV,USA,All,29670,26983,4,6,210,15,20,4463,114,190,1
Escape XLS,Ford,SUV,USA,All,22515,20907,3,6,201,18,23,3346,103,173,1
Focus ZX3 2dr hatch,Ford,Sedan,USA,Front,13270,12482,2,4,130,26,33,2612,103,168,1
Focus LX 4dr,Ford,Sedan,USA,Front,13730,12906,2,4,110,27,36,2606,103,168,1
Focus SE 4dr,Ford,Sedan,USA,Front,15460,14496,2,4,130,26,33,2606,103,168,1
Focus ZX5 5dr,Ford,Sedan,USA,Front,15580,14607,2,4,130,26,33,2691,103,168,1
Focus SVT 2dr,Ford,Sedan,USA,Front,19135,17878,2,4,170,21,28,2750,103,168,1
Taurus LX 4dr,Ford,Sedan,USA,Front,20320,18881,3,6,155,20,27,3306,109,198,1
Taurus SES Duratec 4dr,Ford,Sedan,USA,Front,22735,20857,3,6,201,19,26,3313,109,198,1
Crown Victoria 4dr,Ford,Sedan,USA,Rear,24345,22856,4.6,8,224,17,25,4057,115,212,1
Crown Victoria LX 4dr,Ford,Sedan,USA,Rear,27370,25105,4.6,8,224,17,25,4057,115,212,1
Crown Victoria LX Sport 4dr,Ford,Sedan,USA,Rear,30315,27756,4.6,8,239,17,25,4057,115,212,1
Freestar SE,Ford,Sedan,USA,Front,26930,24498,3.9,6,193,17,23,4275,121,201,1
Mustang 2dr (convertible),Ford,Sports,USA,Rear,18345,16943,3.8,6,193,20,29,3290,101,183,1
Mustang GT Premium convertible 2dr,Ford,Sports,USA,Rear,29380,26875,4.6,8,260,17,25,3347,101,183,1
Thunderbird Deluxe convert w/hardtop 2d,Ford,Sports,USA,Front,37530,34483,3.9,8,280,17,24,3780,107,186,1
F-150 Regular Cab XL,Ford,Truck,USA,Rear,22010,19490,4.6,8,231,15,19,4788,126,211,1
F-150 Supercab Lariat,Ford,Truck,USA,All,33540,29405,5.4,8,300,14,18,5464,133,218,1
Ranger 2.3 XL Regular Cab,Ford,Truck,USA,Rear,14385,13717,2.3,4,143,24,29,3028,111,188,1
Focus ZTW,Ford,Wagon,USA,Front,17475,16375,2,4,130,26,33,2702,103,178,1
Taurus SE,Ford,Wagon,USA,Front,22290,20457,3,6,155,19,26,3497,109,198,1
Envoy XUV SLE,GMC,SUV,USA,Front,31890,28922,4.2,6,275,15,19,4945,129,208,1
Yukon 1500 SLE,GMC,SUV,USA,Front,35725,31361,4.8,8,285,16,19,5042,116,199,1
Yukon XL 2500 SLT,GMC,SUV,USA,All,46265,40534,6,8,325,13,17,6133,130,219,1
Safari SLE,GMC,Sedan,USA,Rear,25640,23215,4.3,6,190,16,20,4309,111,190,1
Canyon Z85 SL Regular Cab,GMC,Truck,USA,Rear,16530,14877,2.8,4,175,18,25,3351,111,192,1
Sierra Extended Cab 1500,GMC,Truck,USA,Rear,25717,22604,4.8,8,285,17,20,4548,144,230,1
Sierra HD 2500,GMC,Truck,USA,All,29322,25759,6,8,300,13,18,5440,133,222,1
Sonoma Crew Cab,GMC,Truck,USA,All,25395,23043,4.3,6,190,15,19,4083,123,208,1
Civic Hybrid 4dr manual (gas/electric),Honda,Hybrid,Asia,Front,20140,18451,1.4,4,93,46,51,2732,103,175,0
Insight 2dr (gas/electric),Honda,Hybrid,Asia,Front,19110,17911,2,3,73,60,66,1850,95,155,0
Pilot LX,Honda,SUV,Asia,All,27560,24843,3.5,6,240,17,22,4387,106,188,0
CR-V LX,Honda,SUV,Asia,All,19860,18419,2.4,4,160,21,25,3258,103,179,0
Element LX,Honda,SUV,Asia,All,18690,17334,2.4,4,160,21,24,3468,101,167,0
Civic DX 2dr,Honda,Sedan,Asia,Front,13270,12175,1.7,4,115,32,38,2432,103,175,0
Civic HX 2dr,Honda,Sedan,Asia,Front,14170,12996,1.7,4,117,36,44,2500,103,175,0
Civic LX 4dr,Honda,Sedan,Asia,Front,15850,14531,1.7,4,115,32,38,2513,103,175,0
Accord LX 2dr,Honda,Sedan,Asia,Front,19860,17924,2.4,4,160,26,34,2994,105,188,0
Accord EX 2dr,Honda,Sedan,Asia,Front,22260,20080,2.4,4,160,26,34,3047,105,188,0
Civic EX 4dr,Honda,Sedan,Asia,Front,17750,16265,1.7,4,127,32,37,2601,103,175,0
Civic Si 2dr hatch,Honda,Sedan,Asia,Front,19490,17849,2,4,160,26,30,2782,101,166,0
Accord LX V6 4dr,Honda,Sedan,Asia,Front,23760,21428,3,6,240,21,30,3349,108,190,0
Accord EX V6 2dr,Honda,Sedan,Asia,Front,26960,24304,3,6,240,21,30,3294,105,188,0
Odyssey LX,Honda,Sedan,Asia,Front,24950,22498,3.5,6,240,18,25,4310,118,201,0
Odyssey EX,Honda,Sedan,Asia,Front,27450,24744,3.5,6,240,18,25,4365,118,201,0
S2000 convertible 2dr,Honda,Sports,Asia,Rear,33260,29965,2.2,4,240,20,25,2835,95,162,0
H2,Hummer,SUV,USA,All,49995,45815,6,8,316,10,12,6400,123,190,1
Santa Fe GLS,Hyundai,SUV,Asia,Front,21589,20201,2.7,6,173,20,26,3549,103,177,0
Accent 2dr hatch,Hyundai,Sedan,Asia,Front,10539,10107,1.6,4,103,29,33,2255,96,167,0
Accent GL 4dr,Hyundai,Sedan,Asia,Front,11839,11116,1.6,4,103,29,33,2290,96,167,0
Accent GT 2dr hatch,Hyundai,Sedan,Asia,Front,11939,11209,1.6,4,103,29,33,2339,96,167,0
Elantra GLS 4dr,Hyundai,Sedan,Asia,Front,13839,12781,2,4,138,26,34,2635,103,178,0
Elantra GT 4dr,Hyundai,Sedan,Asia,Front,15389,14207,2,4,138,26,34,2635,103,178,0
Elantra GT 4dr hatch,Hyundai,Sedan,Asia,Front,15389,14207,2,4,138,26,34,2698,103,178,0
Sonata GLS 4dr,Hyundai,Sedan,Asia,Front,19339,17574,2.7,6,170,19,27,3217,106,187,0
Sonata LX 4dr,Hyundai,Sedan,Asia,Front,20339,18380,2.7,6,170,19,27,3217,106,187,0
XG350 4dr,Hyundai,Sedan,Asia,Front,24589,22055,3.5,6,194,17,26,3651,108,192,0
XG350 L 4dr,Hyundai,Sedan,Asia,Front,26189,23486,3.5,6,194,17,26,3651,108,192,0
Tiburon GT V6 2dr,Hyundai,Sports,Asia,Front,18739,17101,2.7,6,172,19,26,3023,100,173,0
G35 4dr,Infiniti,Sedan,Asia,Rear,28495,26157,3.5,6,260,18,26,3336,112,187,0
G35 Sport Coupe 2dr,Infiniti,Sedan,Asia,Rear,29795,27536,3.5,6,280,18,26,3416,112,182,0
G35 4dr,Infiniti,Sedan,Asia,All,32445,29783,3.5,6,260,18,26,3677,112,187,0
I35 4dr,Infiniti,Sedan,Asia,Front,31145,28320,3.5,6,255,19,26,3306,108,194,0
M45 4dr,Infiniti,Sedan,Asia,Rear,42845,38792,4.5,8,340,17,23,3851,110,197,0
Q45 Luxury 4dr,Infiniti,Sedan,Asia,Rear,52545,47575,4.5,8,340,17,23,3977,113,200,0
FX35,Infiniti,Wagon,Asia,Rear,34895,31756,3.5,6,280,16,22,4056,112,189,0
FX45,Infiniti,Wagon,Asia,All,36395,33121,4.5,8,315,15,19,4309,112,189,0
Ascender S,Isuzu,SUV,Asia,All,31849,29977,4.2,6,275,15,20,4967,129,208,0
Rodeo S,Isuzu,SUV,Asia,Front,20449,19261,3.2,6,193,17,21,3836,106,178,0
X-Type 2.5 4dr,Jaguar,Sedan,Europe,All,29995,27355,2.5,6,192,18,26,3428,107,184,0
X-Type 3.0 4dr,Jaguar,Sedan,Europe,All,33995,30995,3,6,227,18,25,3516,107,184,0
S-Type 3.0 4dr,Jaguar,Sedan,Europe,Rear,43895,40004,3,6,235,18,26,3777,115,192,0
S-Type 4.2 4dr,Jaguar,Sedan,Europe,Rear,49995,45556,4.2,8,294,18,28,3874,115,192,0
S-Type R 4dr,Jaguar,Sedan,Europe,Rear,63120,57499,4.2,8,390,17,24,4046,115,192,0
Vanden Plas 4dr,Jaguar,Sedan,Europe,Rear,68995,62846,4.2,8,294,18,28,3803,119,200,0
XJ8 4dr,Jaguar,Sedan,Europe,Rear,59995,54656,4.2,8,294,18,28,3803,119,200,0
XJR 4dr,Jaguar,Sedan,Europe,Rear,74995,68306,4.2,8,390,17,24,3948,119,200,0
XK8 coupe 2dr,Jaguar,Sports,Europe,Rear,69995,63756,4.2,8,294,18,26,3779,102,187,0
XK8 convertible 2dr,Jaguar,Sports,Europe,Rear,74995,68306,4.2,8,294,18,26,3980,102,187,0
XKR coupe 2dr,Jaguar,Sports,Europe,Rear,81995,74676,4.2,8,390,16,23,3865,102,187,0
XKR convertible 2dr,Jaguar,Sports,Europe,Rear,86995,79226,4.2,8,390,16,23,4042,102,187,0
Grand Cherokee Laredo,Jeep,SUV,USA,Front,27905,25686,4,6,195,16,21,3790,106,181,1
Liberty Sport,Jeep,SUV,USA,All,20130,18973,2.4,4,150,20,24,3826,104,174,1
Wrangler Sahara convertible 2dr,Jeep,SUV,USA,All,25520,23275,4,6,190,16,19,3575,93,150,1
Sorento LX,Kia,SUV,Asia,Front,19635,18630,3.5,6,192,16,19,4112,107,180,0
Optima LX 4dr,Kia,Sedan,Asia,Front,16040,14910,2.4,4,138,23,30,3281,106,186,0
Rio 4dr manual,Kia,Sedan,Asia,Front,10280,9875,1.6,4,104,26,33,2403,95,167,0
Rio 4dr auto,Kia,Sedan,Asia,Front,11155,10705,1.6,4,104,25,32,2458,95,167,0
Spectra 4dr,Kia,Sedan,Asia,Front,12360,11630,1.8,4,124,24,32,2661,101,178,0
Spectra GS 4dr hatch,Kia,Sedan,Asia,Front,13580,12830,1.8,4,124,24,32,2686,101,178,0
Spectra GSX 4dr hatch,Kia,Sedan,Asia,Front,14630,13790,1.8,4,124,24,32,2697,101,178,0
Optima LX V6 4dr,Kia,Sedan,Asia,Front,18435,16850,2.7,6,170,20,27,3279,106,186,0
Amanti 4dr,Kia,Sedan,Asia,Front,26000,23764,3.5,6,195,17,25,4021,110,196,0
Sedona LX,Kia,Sedan,Asia,Front,20615,19400,3.5,6,195,16,22,4802,115,194,0
Rio Cinco,Kia,Wagon,Asia,Front,11905,11410,1.6,4,104,26,33,2447,95,167,0
