model,make,type,origin,drivetrain,msrp,invoice,engine_size,cyl,horsepower,mpg_city,mpg_hwy,weight,wheelbase,length,domestic
Range Rover HSE,Land Rover,SUV,Europe,All,72250,65807,4.4,8,282,12,16,5379,113,195,0
Discovery SE,Land Rover,SUV,Europe,All,39250,35777,4.6,8,217,12,16,4576,100,185,0
Freelander SE,Land Rover,SUV,Europe,All,25995,23969,2.5,6,174,18,21,3577,101,175,0
GX 470,Lexus,SUV,Asia,All,45700,39838,4.7,8,235,15,19,4740,110,188,0
LX 470,Lexus,SUV,Asia,All,64800,56455,4.7,8,235,13,17,5590,112,193,0
RX 330,Lexus,SUV,Asia,All,39195,34576,3.3,6,230,18,24,4065,107,186,0
ES 330 4dr,Lexus,Sedan,Asia,Front,32350,28755,3.3,6,225,20,29,3460,107,191,0
IS 300 4dr manual,Lexus,Sedan,Asia,Rear,31045,27404,3,6,215,18,25,3255,105,177,0
IS 300 4dr auto,Lexus,Sedan,Asia,Rear,32415,28611,3,6,215,18,24,3285,105,177,0
GS 300 4dr,Lexus,Sedan,Asia,Rear,41010,36196,3,6,220,18,25,3649,110,189,0
GS 430 4dr,Lexus,Sedan,Asia,Rear,48450,42232,4.3,8,300,18,23,3715,110,189,0
LS 430 4dr,Lexus,Sedan,Asia,Rear,55750,48583,4.3,8,290,18,25,3990,115,197,0
SC 430 convertible 2dr,Lexus,Sports,Asia,Rear,63200,55063,4.3,8,300,18,23,3840,103,178,0
IS 300 SportCross,Lexus,Wagon,Asia,Rear,32455,28647,3,6,215,18,24,3410,105,177,0
Navigator Luxury,Lincoln,SUV,USA,All,52775,46360,5.4,8,300,13,18,5969,119,206,1
Aviator Ultimate,Lincoln,SUV,USA,Front,42915,39443,4.6,8,302,13,18,4834,114,193,1
LS V6 Luxury 4dr,Lincoln,Sedan,USA,Rear,32495,29969,3,6,232,20,26,3681,115,194,1
LS V6 Premium 4dr,Lincoln,Sedan,USA,Rear,36895,33929,3,6,232,20,26,3681,115,194,1
LS V8 Sport 4dr,Lincoln,Sedan,USA,Rear,40095,36809,3.9,8,280,17,24,3768,115,194,1
LS V8 Ultimate 4dr,Lincoln,Sedan,USA,Rear,43495,39869,3.9,8,280,17,24,3768,115,194,1
Town Car Signature 4dr,Lincoln,Sedan,USA,Rear,41815,38418,4.6,8,239,17,25,4369,118,215,1
Town Car Ultimate 4dr,Lincoln,Sedan,USA,Rear,44925,41217,4.6,8,239,17,25,4369,118,215,1
Town Car Ultimate L 4dr,Lincoln,Sedan,USA,Rear,50470,46208,4.6,8,239,17,25,4474,124,221,1
Cooper,MINI,Sedan,Europe,Front,16999,15437,1.6,4,115,28,37,2524,97,143,0
Cooper S,MINI,Sedan,Europe,Front,19999,18137,1.6,4,163,25,34,2678,97,144,0
Tribute DX 2.0,Mazda,SUV,Asia,All,21087,19742,2,4,130,22,25,3091,103,173,0
Mazda3 i 4dr,Mazda,Sedan,Asia,Front,15500,14525,2,4,148,26,34,2696,104,178,0
Mazda3 s 4dr,Mazda,Sedan,Asia,Front,17200,15922,2.3,4,160,25,31,2762,104,179,0
Mazda6 i 4dr,Mazda,Sedan,Asia,Front,19270,17817,2.3,4,160,24,32,3042,105,187,0
MPV ES,Mazda,Sedan,Asia,Front,28750,26600,3,6,200,18,25,3812,112,188,0
MX-5 Miata convertible 2dr,Mazda,Sports,Asia,Rear,22388,20701,1.8,4,142,23,28,2387,89,156,0
MX-5 Miata LS convertible 2dr,Mazda,Sports,Asia,Rear,25193,23285,1.8,4,142,23,28,2387,89,156,0
RX-8 4dr automatic,Mazda,Sports,Asia,Rear,25700,23794,1.3,,197,18,25,3053,106,174,0
RX-8 4dr manual,Mazda,Sports,Asia,Rear,27200,25179,1.3,,238,18,24,3029,106,174,0
B2300 SX Regular Cab,Mazda,Truck,Asia,Rear,14840,14070,2.3,4,143,24,29,2960,112,188,0
B4000 SE Cab Plus,Mazda,Truck,Asia,All,22350,20482,4,6,207,15,19,3571,126,203,0
G500,Mercedes-Benz,SUV,Europe,All,76870,71540,5,8,292,13,14,5423,112,186,0
ML500,Mercedes-Benz,SUV,Europe,All,46470,43268,5,8,288,14,17,4874,111,183,0
C230 Sport 2dr,Mercedes-Benz,Sedan,Europe,Rear,26060,24249,1.8,4,189,22,30,3250,107,178,0
C320 Sport 2dr,Mercedes-Benz,Sedan,Europe,Rear,28370,26435,3.2,6,215,19,26,3430,107,178,0
C240 4dr,Mercedes-Benz,Sedan,Europe,Rear,32280,30071,2.6,6,168,20,25,3360,107,178,0
C240 4dr,Mercedes-Benz,Sedan,Europe,All,33480,31187,2.6,6,168,19,25,3360,107,178,0
C320 Sport 4dr,Mercedes-Benz,Sedan,Europe,Rear,35920,33456,3.2,6,215,19,26,3430,107,178,0
C320 4dr,Mercedes-Benz,Sedan,Europe,Rear,37630,35046,3.2,6,215,20,26,3450,107,178,0
C320 4dr,Mercedes-Benz,Sedan,Europe,All,38830,36162,3.2,6,215,19,27,3450,107,178,0
C32 AMG 4dr,Mercedes-Benz,Sedan,Europe,Rear,52120,48522,3.2,6,349,16,21,3540,107,178,0
CL500 2dr,Mercedes-Benz,Sedan,Europe,Rear,94820,88324,5,8,302,16,24,4085,114,196,0
CL600 2dr,Mercedes-Benz,Sedan,Europe,Rear,128420,119600,5.5,12,493,13,19,4473,114,196,0
CLK320 coupe 2dr (convertible),Mercedes-Benz,Sedan,Europe,Rear,45707,41966,3.2,6,215,20,26,3770,107,183,0
CLK500 coupe 2dr (convertible),Mercedes-Benz,Sedan,Europe,Rear,52800,49104,5,8,302,17,22,3585,107,183,0
E320 4dr,Mercedes-Benz,Sedan,Europe,Rear,48170,44849,3.2,6,221,19,27,3635,112,190,0
E500 4dr,Mercedes-Benz,Sedan,Europe,Rear,57270,53382,5,8,302,16,20,3815,112,190,0
S430 4dr,Mercedes-Benz,Sedan,Europe,Rear,74320,69168,4.3,8,275,18,26,4160,122,203,0
S500 4dr,Mercedes-Benz,Sedan,Europe,All,86970,80939,5,8,302,16,24,4390,122,203,0
SL500 convertible 2dr,Mercedes-Benz,Sports,Europe,Rear,90520,84325,5,8,302,16,23,4065,101,179,0
SL55 AMG 2dr,Mercedes-Benz,Sports,Europe,Rear,121770,113388,5.5,8,493,14,21,4235,101,179,0
SL600 convertible 2dr,Mercedes-Benz,Sports,Europe,Rear,126670,117854,5.5,12,493,13,19,4429,101,179,0
SLK230 convertible 2dr,Mercedes-Benz,Sports,Europe,Rear,40320,37548,2.3,4,192,21,29,3055,95,158,0
SLK32 AMG 2dr,Mercedes-Benz,Sports,Europe,Rear,56170,52289,3.2,6,349,17,22,3220,95,158,0
C240,Mercedes-Benz,Wagon,Europe,Rear,33780,31466,2.6,6,168,19,25,3470,107,179,0
E320,Mercedes-Benz,Wagon,Europe,Rear,50670,47174,3.2,6,221,19,27,3966,112,190,0
E500,Mercedes-Benz,Wagon,Europe,All,60670,56474,5,8,302,16,24,4230,112,190,0
Mountaineer,Mercury,SUV,USA,Front,29995,27317,4,6,210,16,21,4374,114,190,1
Sable GS 4dr,Mercury,Sedan,USA,Front,21595,19848,3,6,155,20,27,3308,109,200,1
Grand Marquis GS 4dr,Mercury,Sedan,USA,Rear,24695,23217,4.6,8,224,17,25,4052,115,212,1
Grand Marquis LS Premium 4dr,Mercury,Sedan,USA,Rear,29595,27148,4.6,8,224,17,25,4052,115,212,1
Sable LS Premium 4dr,Mercury,Sedan,USA,Front,23895,21918,3,6,201,19,26,3315,109,200,1
Grand Marquis LS Ultimate 4dr,Mercury,Sedan,USA,Rear,30895,28318,4.6,8,224,17,25,4052,115,212,1
Marauder 4dr,Mercury,Sedan,USA,Rear,34495,31558,4.6,8,302,17,23,4195,115,212,1
Monterey Luxury,Mercury,Sedan,USA,Front,33995,30846,4.2,6,201,16,23,4340,121,202,1
Sable GS,Mercury,Wagon,USA,Front,22595,20748,3,6,155,19,26,3488,109,198,1
Endeavor XLS,Mitsubishi,SUV,Asia,All,30492,28330,3.8,6,215,17,21,4134,109,190,0
Montero XLS,Mitsubishi,SUV,Asia,All,33112,30763,3.8,6,215,15,19,4718,110,190,0
Outlander LS,Mitsubishi,SUV,Asia,Front,18892,17569,2.4,4,160,21,27,3240,103,179,0
Lancer ES 4dr,Mitsubishi,Sedan,Asia,Front,14622,13751,2,4,120,25,31,2656,102,181,0
Lancer LS 4dr,Mitsubishi,Sedan,Asia,Front,16722,15718,2,4,120,25,31,2795,102,181,0
Galant ES 2.4L 4dr,Mitsubishi,Sedan,Asia,Front,19312,17957,2.4,4,160,23,30,3351,108,191,0
Lancer OZ Rally 4dr auto,Mitsubishi,Sedan,Asia,Front,17232,16196,2,4,120,25,31,2744,102,181,0
Diamante LS 4dr,Mitsubishi,Sedan,Asia,Front,29282,27250,3.5,6,205,18,25,3549,107,194,0
Galant GTS 4dr,Mitsubishi,Sedan,Asia,Front,25700,23883,3.8,6,230,18,26,3649,108,191,0
Eclipse GTS 2dr,Mitsubishi,Sports,Asia,Front,25092,23456,3,6,210,21,28,3241,101,177,0
Eclipse Spyder GT convertible 2dr,Mitsubishi,Sports,Asia,Front,26992,25218,3,6,210,21,28,3296,101,177,0
Lancer Evolution 4dr,Mitsubishi,Sports,Asia,Front,29562,27466,2,4,271,18,26,3263,103,179,0
Lancer Sportback LS,Mitsubishi,Wagon,Asia,Front,17495,16295,2.4,4,160,25,31,3020,102,181,0
Pathfinder Armada SE,Nissan,SUV,Asia,Front,33840,30815,5.6,8,305,13,19,5013,123,207,0
Pathfinder SE,Nissan,SUV,Asia,Front,27339,25972,3.5,6,240,16,21,3871,106,183,0
Xterra XE V6,Nissan,SUV,Asia,Front,20939,19512,3.3,6,180,17,20,3760,104,178,0
Sentra 1.8 4dr,Nissan,Sedan,Asia,Front,12740,12205,1.8,4,126,28,35,2513,100,178,0
Sentra 1.8 S 4dr,Nissan,Sedan,Asia,Front,14740,13747,1.8,4,126,28,35,2581,100,178,0
Altima S 4dr,Nissan,Sedan,Asia,Front,19240,18030,2.5,4,175,21,26,3039,110,192,0
Sentra SE-R 4dr,Nissan,Sedan,Asia,Front,17640,16444,2.5,4,165,23,28,2761,100,178,0
Altima SE 4dr,Nissan,Sedan,Asia,Front,23290,21580,3.5,6,245,21,26,3197,110,192,0
Maxima SE 4dr,Nissan,Sedan,Asia,Front,27490,25182,3.5,6,265,20,28,3473,111,194,0
Maxima SL 4dr,Nissan,Sedan,Asia,Front,29440,26966,3.5,6,265,20,28,3476,111,194,0
Quest S,Nissan,Sedan,Asia,Front,24780,22958,3.5,6,240,19,26,4012,124,204,0
Quest SE,Nissan,Sedan,Asia,Front,32780,30019,3.5,6,240,18,25,4175,124,204,0
350Z coupe 2dr,Nissan,Sports,Asia,Rear,26910,25203,3.5,6,287,20,26,3188,104,169,0
350Z Enthusiast convertible 2dr,Nissan,Sports,Asia,Rear,34390,31845,3.5,6,287,20,26,3428,104,169,0
Frontier King Cab XE V6,Nissan,Truck,Asia,All,19479,18253,3.3,6,180,17,20,3932,116,191,0
Titan King Cab XE,Nissan,Truck,Asia,All,26650,24926,5.6,8,305,14,18,5287,140,224,0
Murano SL,Nissan,Wagon,Asia,Rear,28739,27300,3.5,6,245,20,25,3801,111,188,0
Alero GX 2dr,Oldsmobile,Sedan,USA,Front,18825,17642,2.2,4,140,24,32,2946,107,187,1
Alero GLS 2dr,Oldsmobile,Sedan,USA,Front,23675,21485,3.4,6,170,20,29,3085,107,187,1
Silhouette GL,Oldsmobile,Sedan,USA,Front,28790,26120,3.4,6,185,19,26,3948,120,201,1
Aztekt,Pontiac,SUV,USA,Front,21595,19810,3.4,6,185,19,26,3779,108,182,1
Sunfire 1SA 2dr,Pontiac,Sedan,USA,Front,15495,14375,2.2,4,140,24,33,2771,104,182,1
Grand Am GT 2dr,Pontiac,Sedan,USA,Front,22450,20595,3.4,6,175,20,29,3118,107,186,1
Grand Prix GT1 4dr,Pontiac,Sedan,USA,Front,22395,20545,3.8,6,200,20,30,3477,111,198,1
Sunfire 1SC 2dr,Pontiac,Sedan,USA,Front,17735,16369,2.2,4,140,24,33,2771,104,182,1
Grand Prix GT2 4dr,Pontiac,Sedan,USA,Front,24295,22284,3.8,6,200,20,30,3484,111,198,1
Bonneville GXP 4dr,Pontiac,Sedan,USA,Front,35995,32997,4.6,8,275,17,20,3790,112,203,1
Montana,Pontiac,Sedan,USA,Front,23845,21644,3.4,6,185,19,26,3803,112,187,1
Montana EWB,Pontiac,Sedan,USA,All,31370,28454,3.4,6,185,18,24,4431,121,201,1
GTO 2dr,Pontiac,Sports,USA,Rear,33500,30710,5.7,8,340,16,20,3725,110,190,1
Vibe,Pontiac,Wagon,USA,Rear,17045,15973,1.8,4,130,29,36,2701,102,172,1
Cayenne S,Porsche,SUV,Europe,All,56665,49865,4.5,8,340,14,18,4950,112,188,0
911 Carrera convertible 2dr (coupe),Porsche,Sports,Europe,Rear,79165,69229,3.6,6,315,18,26,3135,93,175,0
911 Carrera 4S coupe 2dr (convert),Porsche,Sports,Europe,All,84165,72206,3.6,6,315,17,24,3240,93,175,0
911 Targa coupe 2dr,Porsche,Sports,Europe,Rear,76765,67128,3.6,6,315,18,26,3119,93,175,0
911 GT2 2dr,Porsche,Sports,Europe,Rear,192465,173560,3.6,6,477,17,24,3131,93,175,0
Boxster convertible 2dr,Porsche,Sports,Europe,Rear,43365,37886,2.7,6,228,20,29,2811,95,170,0
Boxster S convertible 2dr,Porsche,Sports,Europe,Rear,52365,45766,3.2,6,258,18,26,2911,95,170,0
9-3 Arc Sport 4dr,Saab,Sedan,Europe,Front,30860,29269,2,4,210,20,28,3175,105,183,0
9-3 Aero 4dr,Saab,Sedan,Europe,Front,33360,31562,2,4,210,20,28,3175,105,183,0
9-5 Arc 4dr,Saab,Sedan,Europe,Front,35105,33011,2.3,4,220,21,29,3470,106,190,0
9-5 Aero 4dr,Saab,Sedan,Europe,Front,39465,37721,2.3,4,250,21,29,3470,106,190,0
9-3 Arc convertible 2dr,Saab,Sedan,Europe,Front,40670,38520,2,4,210,21,29,3480,105,182,0
9-3 Aero convertible 2dr,Saab,Sedan,Europe,Front,43175,40883,2,4,210,21,30,3700,105,182,0
9-5 Aero,Saab,Wagon,Europe,Front,40845,38376,2.3,4,250,19,29,3620,106,190,0
VUE,Saturn,SUV,USA,All,20585,19238,2.2,4,143,21,26,3381,107,181,1
Ion1 4dr,Saturn,Sedan,USA,Front,10995,10319,2.2,4,140,26,35,2692,103,185,1
lon2 4dr,Saturn,Sedan,USA,Front,14300,13393,2.2,4,140,26,35,2692,103,185,1
lon3 4dr,Saturn,Sedan,USA,Front,15825,14811,2.2,4,140,26,35,2692,103,185,1
lon2 quad coupe 2dr,Saturn,Sedan,USA,Front,14850,13904,2.2,4,140,26,35,2751,103,185,1
lon3 quad coupe 2dr,Saturn,Sedan,USA,Front,16350,15299,2.2,4,140,26,35,2751,103,185,1
L300-2 4dr,Saturn,Sedan,USA,Front,21410,19801,3,6,182,20,28,3197,107,190,1
L300 2,Saturn,Wagon,USA,Front,23560,21779,2.2,4,140,24,34,3109,107,190,1
xA 4dr hatch,Scion,Sedan,Asia,Front,12965,12340,1.5,4,108,32,38,2340,93,154,0
xB,Scion,Wagon,Asia,Front,14165,13480,1.5,4,108,31,35,2425,98,155,0
Impreza 2.5 RS 4dr,Subaru,Sedan,Asia,All,19945,18399,2.5,4,165,22,28,2965,99,174,0
Legacy L 4dr,Subaru,Sedan,Asia,All,20445,18713,2.5,4,165,21,28,3285,104,184,0
Legacy GT 4dr,Subaru,Sedan,Asia,All,25645,23336,2.5,4,165,21,28,3395,104,184,0
Outback Limited Sedan 4dr,Subaru,Sedan,Asia,All,27145,24687,2.5,4,165,20,27,3495,104,184,0
Outback H6 4dr,Subaru,Sedan,Asia,All,29345,26660,3,6,212,19,26,3610,104,184,0
Outback H-6 VDC 4dr,Subaru,Sedan,Asia,All,31545,28603,3,6,212,19,26,3630,104,184,0
Impreza WRX 4dr,Subaru,Sports,Asia,All,25045,23022,2,4,227,20,27,3085,99,174,0
Impreza WRX STi 4dr,Subaru,Sports,Asia,All,31545,29130,2.5,4,300,18,24,3263,100,174,0
Baja,Subaru,Truck,Asia,All,24520,22304,2.5,4,165,21,28,3485,104,193,0
Forester X,Subaru,Wagon,Asia,All,21445,19646,2.5,4,165,21,28,3090,99,175,0
Outback,Subaru,Wagon,Asia,All,23895,21773,2.5,4,165,21,28,3430,104,187,0
XL-7 EX,Suzuki,SUV,Asia,Front,23699,22307,2.7,6,185,18,22,3682,110,187,0
Vitara LX,Suzuki,SUV,Asia,All,17163,16949,2.5,6,165,19,22,3020,98,163,0
Aeno S 4dr,Suzuki,Sedan,Asia,Front,12884,12719,2.3,4,155,25,31,2676,98,171,0
Aerio LX 4dr,Suzuki,Sedan,Asia,Front,14500,14317,2.3,4,155,25,31,2676,98,171,0
Forenza S 4dr,Suzuki,Sedan,Asia,Front,12269,12116,2,4,119,24,31,2701,102,177,0
Forenza EX 4dr,Suzuki,Sedan,Asia,Front,15568,15378,2,4,119,22,30,2756,102,177,0
Verona LX 4dr,Suzuki,Sedan,Asia,Front,17262,17053,2.5,6,155,20,27,3380,106,188,0
Aerio SX,Suzuki,Wagon,Asia,All,16497,16291,2.3,4,155,24,29,2932,98,167,0
Prius 4dr (gas/electric),Toyota,Hybrid,Asia,Front,20510,18926,1.5,4,110,59,51,2890,106,175,0
Sequoia SR5,Toyota,SUV,Asia,All,35695,31827,4.7,8,240,14,17,5270,118,204,0
4Runner SR5 V6,Toyota,SUV,Asia,Front,27710,24801,4,6,245,18,21,4035,110,189,0
Highlander V6,Toyota,SUV,Asia,All,27930,24915,3.3,6,230,18,24,3935,107,185,0
Land Cruiser,Toyota,SUV,Asia,All,54765,47986,4.7,8,325,13,17,5390,112,193,0
RAV4,Toyota,SUV,Asia,All,20290,18553,2.4,4,161,22,27,3119,98,167,0
Corolla CE 4dr,Toyota,Sedan,Asia,Front,14085,13065,1.8,4,130,32,40,2502,102,178,0
Corolla S 4dr,Toyota,Sedan,Asia,Front,15030,13650,1.8,4,130,32,40,2524,102,178,0
Corolla LE 4dr,Toyota,Sedan,Asia,Front,15295,13889,1.8,4,130,32,40,2524,102,178,0
Echo 2dr manual,Toyota,Sedan,Asia,Front,10760,10144,1.5,4,108,35,43,2035,93,163,0
Echo 2dr auto,Toyota,Sedan,Asia,Front,11560,10896,1.5,4,108,33,39,2085,93,163,0
Echo 4dr,Toyota,Sedan,Asia,Front,11290,10642,1.5,4,108,35,43,2055,93,163,0
Camry LE 4dr,Toyota,Sedan,Asia,Front,19560,17558,2.4,4,157,24,33,3086,107,189,0
Camry LE V6 4dr,Toyota,Sedan,Asia,Front,22775,20325,3,6,210,21,29,3296,107,189,0
Camry Solara SE 2dr,Toyota,Sedan,Asia,Front,19635,17722,2.4,4,157,24,33,3175,107,193,0
Camry Solara SE V6 2dr,Toyota,Sedan,Asia,Front,21965,19819,3.3,6,225,20,29,3417,107,193,0
Avalon XL 4dr,Toyota,Sedan,Asia,Front,26560,23693,3,6,210,21,29,3417,107,192,0
Camry XLE V6 4dr,Toyota,Sedan,Asia,Front,25920,23125,3,6,210,21,29,3362,107,189,0
Camry Solara SLE V6 2dr,Toyota,Sedan,Asia,Front,26510,23908,3.3,6,225,20,29,3439,107,193,0
Avalon XLS 4dr,Toyota,Sedan,Asia,Front,30920,27271,3,6,210,21,29,3439,107,192,0
Sienna CE,Toyota,Sedan,Asia,Front,23495,21198,3.3,6,230,19,27,4120,119,200,0
Sienna XLE Limited,Toyota,Sedan,Asia,Front,28800,25690,3.3,6,230,19,27,4165,119,200,0
Celica GT-S 2dr,Toyota,Sports,Asia,Front,22570,20363,1.8,4,180,24,33,2500,102,171,0
MR2 Spyder convertible 2dr,Toyota,Sports,Asia,Rear,25130,22787,1.8,4,138,26,32,2195,97,153,0
Tacoma,Toyota,Truck,Asia,Rear,12800,11879,2.4,4,142,22,27,2750,103,191,0
Tundra Regular Cab V6,Toyota,Truck,Asia,Rear,16495,14978,3.4,6,190,16,18,3925,128,218,0
Tundra Access Cab V6 SR5,Toyota,Truck,Asia,All,25935,23520,3.4,6,190,14,17,4435,128,218,0
Matrix XR,Toyota,Wagon,Asia,Front,16695,15156,1.8,4,130,29,36,2679,102,171,0
Touareg V6,Volkswagen,SUV,Europe,All,35515,32243,3.2,6,220,15,20,5086,112,187,0
Golf GLS 4dr,Volkswagen,Sedan,Europe,Front,18715,17478,2,4,115,24,31,2897,99,165,0
GTI 1.8T 2dr hatch,Volkswagen,Sedan,Europe,Front,19825,18109,1.8,4,180,24,31,2934,99,168,0
Jetta GLS TDI 4dr,Volkswagen,Sedan,Europe,Front,21055,19638,1.9,4,100,38,46,3003,99,172,0
New Beetle GLS 1.8T 2dr,Volkswagen,Sedan,Europe,Front,21055,19638,1.8,4,150,24,31,2820,99,161,0
Jetta GLI VR6 4dr,Volkswagen,Sedan,Europe,Front,23785,21686,2.8,6,200,21,30,3179,99,172,0
New Beetle GLS convertible 2dr,Volkswagen,Sedan,Europe,Front,23215,21689,2,4,115,24,30,3082,99,161,0
Passat GLS 4dr,Volkswagen,Sedan,Europe,Front,23955,21898,1.8,4,170,22,31,3241,106,185,0
Passat GLX V6 4MOTION 4dr,Volkswagen,Sedan,Europe,Front,33180,30583,2.8,6,190,19,26,3721,106,185,0
Passat W8 4MOTION 4dr,Volkswagen,Sedan,Europe,Front,39235,36052,4,8,270,18,25,3953,106,185,0
Phaeton 4dr,Volkswagen,Sedan,Europe,Front,65000,59912,4.2,8,335,16,22,5194,118,204,0
Phaeton W12 4dr,Volkswagen,Sedan,Europe,Front,75000,69130,6,12,420,12,19,5399,118,204,0
Jetta GL,Volkswagen,Wagon,Europe,Front,19005,17427,2,4,115,24,30,3034,99,174,0
Passat GLS 1.8T,Volkswagen,Wagon,Europe,Front,24955,22801,1.8,4,170,22,31,3338,106,184,0
Passat W8,Volkswagen,Wagon,Europe,Front,40235,36956,4,8,270,18,25,4067,106,184,0
XC90 T6,Volvo,SUV,Europe,All,41250,38851,2.9,6,268,15,20,4638,113,189,0
S40 4dr,Volvo,Sedan,Europe,Front,25135,23701,1.9,4,170,22,29,2767,101,178,0
S60 2.5 4dr,Volvo,Sedan,Europe,All,31745,29916,2.5,5,208,20,27,3903,107,180,0
S60 T5 4dr,Volvo,Sedan,Europe,Front,34845,32902,2.3,5,247,20,28,3766,107,180,0
S60 R 4dr,Volvo,Sedan,Europe,All,37560,35382,2.5,5,300,18,25,3571,107,181,0
S80 2.9 4dr,Volvo,Sedan,Europe,Front,37730,35542,2.9,6,208,20,28,3576,110,190,0
S80 2.5T 4dr,Volvo,Sedan,Europe,All,37885,35688,2.5,5,194,20,27,3691,110,190,0
C70 LPT convertible 2dr,Volvo,Sedan,Europe,Front,40565,38203,2.4,5,197,21,28,3450,105,186,0
C70 HPT convertible 2dr,Volvo,Sedan,Europe,Front,42565,40083,2.3,5,242,20,26,3450,105,186,0
S80 T6 4dr,Volvo,Sedan,Europe,Front,45210,42573,2.9,6,268,19,26,3653,110,190,0
V40,Volvo,Wagon,Europe,Front,26135,24641,1.9,4,170,22,29,2822,101,180,0
XC70,Volvo,Wagon,Europe,All,35145,33112,2.5,5,208,20,27,3823,109,186,0
